Longitude,Latitude,RelativeDensity
9.50,45.50,0.25000
10.00,45.50,0.25000
10.50,45.50,0.25000
11.00,45.50,0.25000
14.00,45.50,0.50000
14.50,45.50,0.56250
15.00,45.50,0.59375
15.50,45.50,0.62292
16.00,45.50,0.65417
16.50,45.50,0.65417
17.00,45.50,0.67708
17.50,45.50,0.63333
18.00,45.50,0.65417
18.50,45.50,0.65417
19.00,45.50,0.62292
19.50,45.50,0.57708
20.00,45.50,0.54583
20.50,45.50,0.50000
21.00,45.50,0.45833
21.50,45.50,0.39583
23.50,45.50,0.25000
24.00,45.50,0.25000
24.50,45.50,0.25000
25.00,45.50,0.20833
25.50,45.50,0.14583
26.00,45.50,0.14583
26.50,45.50,0.10417
27.00,45.50,0.10417
27.50,45.50,0.04167
28.00,45.50,0.04167
28.50,45.50,0.00000
29.00,45.50,0.00000
29.50,45.50,0.00000
30.00,45.50,0.00000
-0.50,46.00,0.00000
0.00,46.00,0.00000
0.50,46.00,0.00000
1.00,46.00,0.00000
1.50,46.00,0.00000
2.00,46.00,0.00000
2.50,46.00,0.00000
3.00,46.00,0.00000
3.50,46.00,0.00000
4.00,46.00,0.00000
4.50,46.00,0.00000
5.00,46.00,0.00000
5.50,46.00,0.04167
6.00,46.00,0.04167
6.50,46.00,0.10417
7.00,46.00,0.10417
7.50,46.00,0.14583
8.00,46.00,0.20833
8.50,46.00,0.25000
9.00,46.00,0.25000
9.50,46.00,0.25000
11.50,46.00,0.39583
12.00,46.00,0.48750
12.50,46.00,0.54583
13.00,46.00,0.62292
13.50,46.00,0.65417
14.00,46.00,0.70000
14.50,46.00,0.70833
15.00,46.00,0.71667
15.50,46.00,0.69375
16.00,46.00,0.72917
16.50,46.00,0.72917
17.00,46.00,0.72917
17.50,46.00,0.72500
18.00,46.00,0.72083
18.50,46.00,0.71250
19.00,46.00,0.70625
19.50,46.00,0.70000
20.00,46.00,0.65417
20.50,46.00,0.57708
21.00,46.00,0.54583
21.50,46.00,0.45833
24.00,46.00,0.25000
24.50,46.00,0.25000
25.00,46.00,0.20833
25.50,46.00,0.20833
26.00,46.00,0.14583
26.50,46.00,0.10417
27.00,46.00,0.10417
27.50,46.00,0.04167
28.00,46.00,0.04167
28.50,46.00,0.00000
29.00,46.00,0.00000
29.50,46.00,0.00000
30.00,46.00,0.00000
30.50,46.00,0.00000
-1.50,46.50,0.00000
-1.00,46.50,0.00000
-0.50,46.50,0.00000
0.00,46.50,0.00000
0.50,46.50,0.00000
1.00,46.50,0.00000
1.50,46.50,0.00000
2.00,46.50,0.00000
2.50,46.50,0.00000
3.00,46.50,0.00000
3.50,46.50,0.00000
4.00,46.50,0.00000
4.50,46.50,0.00000
5.00,46.50,0.04167
5.50,46.50,0.04167
6.00,46.50,0.10417
6.50,46.50,0.10417
7.00,46.50,0.14583
7.50,46.50,0.20833
8.00,46.50,0.25000
8.50,46.50,0.25000
10.50,46.50,0.39583
11.00,46.50,0.50000
11.50,46.50,0.57708
12.00,46.50,0.65417
12.50,46.50,0.70625
13.00,46.50,0.72083
13.50,46.50,0.68542
14.00,46.50,0.74375
14.50,46.50,0.75630
15.00,46.50,0.80042
15.50,46.50,0.77101
16.00,46.50,0.77101
16.50,46.50,0.82983
